message_id,action,message_type,reason,confidence,evidence_message_ids
msg_006,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0030
msg_109,mute,scam,Message attempts to override routing instructions; muted for safety.,0.93,message_0152;message_0151;message_0237
msg_108,mute,scam,Message attempts to override routing instructions; muted for safety.,0.93,message_0094;message_0093;message_0236
msg_019,mute,scam,Sender domain does not match the business's official domain.,0.9,message_0094;message_0093;message_0236
msg_088,mute,unknown,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0115;message_0232;message_0050
msg_056,notify,urgent,Message shows strong urgency signals (direct_mention).,0.85,message_0054;message_0226;message_0168
msg_027,mute,scam,Sender domain does not match the business's official domain.,0.9,none
msg_050,mute,scam,Unverified business with no listed official domain; treated as high risk.,0.85,none
msg_083,digest,unknown,No strong signal either way; defaulting to digest based on conversation context.,0.6,message_0219
msg_063,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0182;message_0181
msg_033,digest,greeting,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0409;message_0280;message_0122
msg_061,mute,spam,Repeated chain-forward pattern (forwarded 8 times).,0.85,message_0194;message_0193;message_0247
msg_020,mute,scam,Message contains a shortened or suspicious link.,0.85,message_0095;message_0096
msg_017,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0090;message_0089
msg_058,mute,forward,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0078;message_0077;message_0172
msg_026,mute,scam,Sender domain does not match the business's official domain.,0.9,message_0032;message_0108;message_0107
msg_047,notify,urgent,Message shows strong urgency signals (admin_sender).,0.85,message_0410;message_0130;message_0150
msg_046,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,message_0148;message_0147
msg_042,digest,event,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0057;message_0240;message_0140
msg_079,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,message_0173;message_0174
msg_098,digest,personal,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0054;message_0226;message_0168
msg_037,notify,urgent,Message shows strong urgency signals (admin_sender).,0.85,message_0410;message_0130;message_0150
msg_007,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0070;message_0069
msg_085,mute,scam,Sender domain does not match the business's official domain.,0.9,none
msg_001,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0057;message_0240;message_0140
msg_021,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0030
msg_028,mute,scam,Sender domain does not match the business's official domain.,0.9,message_0034;message_0112;message_0111
msg_012,mute,spam,Repeated chain-forward pattern (forwarded 9 times).,0.85,message_0194;message_0193;message_0247
msg_064,mute,unknown,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0087;message_0184;message_0088
msg_103,digest,personal,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0390;message_0332;message_0114
msg_031,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0055;message_0249;message_0228
msg_057,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0371;message_0230;message_0170
msg_087,mute,unknown,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0391;message_0389;message_0164
msg_067,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0030
msg_039,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,none
msg_082,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0380;message_0218;message_0397
msg_066,mute,business_update,User has opted out of promotional messages from this business.,0.82,message_0188;message_0187
msg_049,digest,business_update,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0153;message_0291;message_0154
msg_015,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,none
msg_051,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,message_0104;message_0103;message_0257
msg_097,digest,personal,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0054;message_0226;message_0168
msg_089,digest,personal,No strong urgency or risk signal; personal message defaulted to digest.,0.6,none
msg_053,digest,forward,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0411;message_0253;message_0162
msg_059,digest,event,No strong signal either way; defaulting to digest based on conversation context.,0.6,message_0214;message_0213;message_0053
msg_024,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,message_0104;message_0103;message_0257
msg_072,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,none
msg_036,mute,scam,Sender domain does not match the business's official domain.,0.9,message_0128;message_0127;message_0283
msg_076,mute,scam,Sender domain does not match the business's official domain.,0.9,message_0208;message_0207;message_0160
msg_055,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0387;message_0166;message_0165
msg_102,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,none
msg_080,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0410;message_0130;message_0150
msg_093,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,none
msg_034,mute,spam,Repeated chain-forward pattern (forwarded 11 times).,0.85,message_0078;message_0077;message_0172
msg_035,digest,business_update,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0126;message_0125;message_0281
msg_101,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,none
msg_041,mute,scam,Sender domain does not match the business's official domain.,0.9,none
msg_011,mute,spam,Repeated chain-forward pattern (forwarded 8 times).,0.85,message_0078;message_0077;message_0172
msg_110,mute,scam,Message attempts to override routing instructions; muted for safety.,0.93,message_0381;message_0238
msg_095,mute,scam,Message attempts to override routing instructions; muted for safety.,0.93,message_0087;message_0184;message_0088
msg_074,mute,forward,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0391;message_0389;message_0164
msg_073,mute,forward,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0087;message_0184;message_0088
msg_054,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0391;message_0389;message_0164
msg_068,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0192;message_0191
msg_100,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,none
msg_062,digest,forward,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0410;message_0130;message_0150
msg_096,digest,personal,No strong urgency or risk signal; personal message defaulted to digest.,0.6,none
msg_043,digest,forward,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0410;message_0130;message_0150
msg_077,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0255;message_0037;message_0134
msg_081,digest,unknown,No strong signal either way; defaulting to digest based on conversation context.,0.6,message_0217
msg_025,notify,business_update,Message shows strong urgency signals (verified_transactional_business).,0.85,message_0106;message_0105;message_0239
msg_084,mute,business_update,User has opted out of promotional messages from this business.,0.82,message_0220
msg_022,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0100;message_0099
